# Output from hector version 2.0
year,run_name,spinup,component,variable,value,units
1,rcp45,1,OH,TAU_OH,6.6,Years
1,rcp45,1,CH4,CH4,653,ppbv CH4
1,rcp45,1,ozone,O3,30,DU O3
1,rcp45,1,N2O,N2O,272.96,ppbv N2O
1,rcp45,1,CF4_halocarbon,hc_concentration,35,pptv
1,rcp45,1,C2F6_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HFC23_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HFC32_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HFC4310_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HFC125_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HFC134a_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HFC143a_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HFC227ea_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HFC245fa_halocarbon,hc_concentration,0,pptv
1,rcp45,1,SF6_halocarbon,hc_concentration,0,pptv
1,rcp45,1,CFC11_halocarbon,hc_concentration,0,pptv
1,rcp45,1,CFC12_halocarbon,hc_concentration,0,pptv
1,rcp45,1,CFC113_halocarbon,hc_concentration,0,pptv
1,rcp45,1,CFC114_halocarbon,hc_concentration,0,pptv
1,rcp45,1,CFC115_halocarbon,hc_concentration,0,pptv
1,rcp45,1,CCl4_halocarbon,hc_concentration,0,pptv
1,rcp45,1,CH3CCl3_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HCF22_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HCF141b_halocarbon,hc_concentration,0,pptv
1,rcp45,1,HCF142b_halocarbon,hc_concentration,0,pptv
1,rcp45,1,halon1211_halocarbon,hc_concentration,0,pptv
1,rcp45,1,halon1301_halocarbon,hc_concentration,0,pptv
1,rcp45,1,halon2402_halocarbon,hc_concentration,0,pptv
1,rcp45,1,CH3Br_halocarbon,hc_concentration,5.8,pptv
1,rcp45,1,CH3Cl_halocarbon,hc_concentration,504,pptv
1,rcp45,1,ocean,atm_ocean_flux_HL,1,Pg C/yr
1,rcp45,1,ocean,atm_ocean_flux_LL,-1,Pg C/yr
1,rcp45,1,ocean,carbon_DO,25999.2,Pg C
1,rcp45,1,ocean,carbon_HL,139.267,Pg C
1,rcp45,1,ocean,carbon_IO,8400.52,Pg C
1,rcp45,1,ocean,carbon_LL,771.033,Pg C
1,rcp45,1,ocean,DIC_HL,2090.94,umol/kg
1,rcp45,1,ocean,DIC_LL,2042.86,umol/kg
1,rcp45,1,ocean,HL_DO_Cflux,98.9974,Pg C/yr
1,rcp45,1,ocean,atm_ocean_flux,0,Pg C/yr
1,rcp45,1,ocean,OmegaAr_HL,0,(undefined)
1,rcp45,1,ocean,OmegaAr_LL,0,(undefined)
1,rcp45,1,ocean,OmegaCa_HL,0,(undefined)
1,rcp45,1,ocean,OmegaCa_LL,0,(undefined)
1,rcp45,1,ocean,PCO2_HL,0,(undefined)
1,rcp45,1,ocean,PCO2_LL,0,(undefined)
1,rcp45,1,ocean,pH_HL,0,(undefined)
1,rcp45,1,ocean,pH_LL,0,(undefined)
1,rcp45,1,ocean,Temp_HL,2,degC
1,rcp45,1,ocean,Temp_LL,22,degC
1,rcp45,1,ocean,ocean_c,35310,Pg C
1,rcp45,1,ocean,CO3_HL,0,(undefined)
1,rcp45,1,ocean,CO3_LL,0,(undefined)
1,rcp45,1,ocean,ocean_timesteps,1,(unitless)
1,rcp45,1,simpleNbox,atm_land_flux,0.07635,Pg C/yr
1,rcp45,1,simpleNbox,npp,50,Pg C/yr
1,rcp45,1,simpleNbox,rh,49.9236,Pg C/yr
1,rcp45,1,simpleNbox,Ca,276.09,ppmv CO2
1,rcp45,1,simpleNbox,atmos_c,587.461,Pg C
1,rcp45,1,simpleNbox,atmos_c_residual,0,Pg C
1,rcp45,1,simpleNbox,veg_c,548.25,Pg C
1,rcp45,1,simpleNbox,detritus_c,57.115,Pg C
1,rcp45,1,simpleNbox,soil_c,1782.24,Pg C
1,rcp45,1,simpleNbox,earth_c,0,Pg C
1,rcp45,1,temperature,Tgav,0,degC
1,rcp45,1,temperature,flux_mixed,0,W/m2
1,rcp45,1,temperature,flux_interior,0,W/m2
2,rcp45,1,OH,TAU_OH,6.6,Years
2,rcp45,1,CH4,CH4,653,ppbv CH4
2,rcp45,1,ozone,O3,30,DU O3
2,rcp45,1,N2O,N2O,272.96,ppbv N2O
2,rcp45,1,CF4_halocarbon,hc_concentration,35,pptv
2,rcp45,1,C2F6_halocarbon,hc_concentration,0,pptv
2,rcp45,1,HFC23_halocarbon,hc_concentration,0,pptv
2,rcp45,1,HFC32_halocarbon,hc_concentration,0,pptv
2,rcp45,1,HFC4310_halocarbon,hc_concentration,0,pptv
